CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Score,RFM_Total,Segment
12346.0,226,2,0.0,1,2,1,121,4,Others
12347.0,30,5,2790.86,3,4,4,344,11,Loyal Customers
12348.0,149,3,1487.24,1,3,4,134,8,At Risk
12350.0,211,1,334.4,1,1,2,112,4,Others
12352.0,163,8,601.1800000000001,1,4,3,143,8,At Risk
12353.0,105,1,89.0,2,1,1,211,4,Others
12354.0,133,1,1079.4,2,1,3,213,6,Others
12355.0,115,1,459.4,2,1,2,212,5,Others
12356.0,146,2,2753.08,2,2,4,224,8,Others
12358.0,51,1,484.86,3,1,2,312,6,Potential Loyalists
12359.0,90,4,3459.93,2,3,4,234,9,At Risk
12360.0,13,2,1618.28,4,2,4,424,10,Potential Loyalists
12361.0,188,1,189.9,1,1,1,111,3,Others
12362.0,13,6,1724.55,4,4,4,444,12,Champions
12363.0,10,2,552.0,4,2,3,423,9,Potential Loyalists
12364.0,13,1,623.92,4,1,3,413,8,Potential Loyalists
12365.0,192,3,320.69,1,3,2,132,6,At Risk
12370.0,175,3,2806.41,1,3,4,134,8,At Risk
12372.0,113,2,914.9200000000001,2,2,3,223,7,Others
12373.0,212,1,364.6,1,1,2,112,4,Others
12377.0,216,2,1628.12,1,2,4,124,7,Others
12378.0,30,1,4008.62,3,1,4,314,8,Potential Loyalists
12379.0,56,2,457.89,3,2,2,322,7,Potential Loyalists
12380.0,86,1,607.5500000000001,2,1,3,213,6,Others
12381.0,1,2,1227.39,4,2,3,423,9,Potential Loyalists
12383.0,85,6,1839.31,2,4,4,244,10,At Risk
12384.0,22,1,292.69,4,1,2,412,7,Potential Loyalists
12386.0,238,2,401.9,1,2,2,122,5,Others
12388.0,49,4,1668.3400000000001,3,3,4,334,10,Loyal Customers
12393.0,146,3,1061.1000000000001,2,3,3,233,8,At Risk
12394.0,118,1,381.08,2,1,2,212,5,Others
12395.0,13,10,1881.77,4,4,4,444,12,Champions
12397.0,36,1,1214.81,3,1,3,313,7,Potential Loyalists
12399.0,20,4,1108.65,4,3,3,433,10,Loyal Customers
12401.0,204,1,84.3,1,1,1,111,3,Others
12402.0,224,1,225.6,1,1,1,111,3,Others
12405.0,49,1,1710.39,3,1,4,314,8,Potential Loyalists
12406.0,23,2,1486.7,4,2,4,424,10,Potential Loyalists
12407.0,35,4,1407.3600000000001,3,3,4,334,10,Loyal Customers
12408.0,64,6,1460.79,3,4,4,344,11,Loyal Customers
12409.0,18,2,6202.13,4,2,4,424,10,Potential Loyalists
12410.0,202,3,681.0799999999999,1,3,3,133,7,At Risk
12412.0,38,2,890.74,3,2,3,323,8,Potential Loyalists
12413.0,137,4,499.95000000000005,2,3,2,232,7,At Risk
12414.0,118,3,562.41,2,3,3,233,8,At Risk
12415.0,14,16,98393.81,4,4,4,444,12,Champions
12417.0,7,9,2766.17,4,4,4,444,12,Champions
12418.0,13,1,668.58,4,1,3,413,8,Potential Loyalists
12421.0,15,4,627.79,4,3,3,433,10,Loyal Customers
12422.0,69,2,655.86,3,2,3,323,8,Potential Loyalists
12423.0,1,7,1650.67,4,4,4,444,12,Champions
12424.0,63,2,1760.96,3,2,4,324,9,Potential Loyalists
12426.0,95,1,582.73,2,1,3,213,6,Others
12427.0,252,2,246.55,1,2,2,122,5,Others
12428.0,9,11,7468.860000000001,4,4,4,444,12,Champions
12429.0,73,3,2844.88,2,3,4,234,9,At Risk
12431.0,20,14,4803.51,4,4,4,444,12,Champions
12432.0,71,3,4016.66,3,3,4,334,10,Loyal Customers
12433.0,267,2,3787.12,1,2,4,124,7,Others
12434.0,150,3,245.3,1,3,2,132,6,At Risk
12435.0,168,1,3978.9900000000002,1,1,4,114,6,Others
